source,english_sentence,hindi_sentence
tides,"The Buddha says , “ He who does not rouse himself when it is time to rise , who though young and strong , is full of sloth , whose will and thought are weak , that lazy and idle man never finds the way to knowledge . ”","उन्होंने कहा था , जो मनुष्य समय से काम नहीं करता , अवसर आने पर जागरूक नहीं रहता वह अविवेकी है , आलसी है और वह कभी भी ज्ञान का मार्ग नहीं प्राप्त कर सकता है . ? ?"
indic2012,Stanzas of Soor-2 (original reading of more stanzas) (on wikisource),सूर के पद-2 (और पदों मूल पाठ) (विकिस्रोत पर)
indic2012,Mixed Position.,मिश्रित पोजीशन
tides,"In the summer of 1883 the two brothers and Kadambari Devi shifted to Karwar on the south-western sea-coast of India , the fragrant land of cardamom and sandal wood .","सन 1883 की गर्मी में , दोनों भाई और कादम्बरी देवी , भारत के दक्षिणी पश्चिमी समुद्र किनारे स्थित इलायची और चंदन के सुरक्षित क्षेत्र कारवार क्षेत्र में रहने चलेगए ."
indic2012,"in the playground there are two umpire ,in the one is besind the ballerman and the other one is at “”square leg“” and in that situation a stockind ballerman is a bit behind .When the ballerman throws the ball then the umpire standing near the wickets at that time he is in between baller man and non stricker if there is some problem in the match then umpire declare it and if he needs he can take the players out of match on the feild and can explain about the match,like possiblities on rainy day or when there is a little light",मैदान पर खेल को दो अंपायर (umpires) नियंत्रित करते हैं उनमें से एक विकेट के पीछे गेंदबाज की तरफ़ खड़ा रहता है और दूसरा स्क्वेयर लेग की स्थिति में जो स्ट्राइकिंग बल्लेबाज से कुछ गज पीछे होता है.जब गेंदबाज गेंद डालता है तो विकेट वाला अम्पायर गेंदबाज और नॉन स्ट्राइकर के बीच रहता है.यदि खेल की स्थिति पर कुछ संदेह होता है तो अम्पायर परामर्श करता है और यदि आवश्यक होता है तो वो खिलाड़ियों को फ़ील्ड से बहार ले जाकर मैच को स्थगित कर सकता है जैसे बारिश होने पर या रोशनी कम होने पर.
indic2012,"The chief important crops that are cultivated are rice, sugarcane, lentils, oil seeds, potatoes, and wheat.",इन क्षेत्रों में उगाई जाने वाली प्रधान उपज में मुख्यतः धान गन्ना दाल तिलहन आलू एवं गेहूँ हैं।
tides,The Conference was held from 25 June to 14 July 1945 .,"यह सम्मेलन 25 जून से 14 जुलाई , 1945 तक चला ."
ted,rather than smiling being merely a result,बजाये बस अच्छा महसूस करने का
indic2012,"This period is called Reeti Kaal as during this period most of the poets wrote poetry on body beautification, in well formulated format and rules of poetry.",इस काल को रीतिकाल कहा गया क्योंकि इस काल में अधिकांश कवियों ने श्रृंगार वर्णन अलंकार प्रयोग छंद बध्दता आदि के बंधे रास्ते की ही कविता की।
indic2012,German and Italian Embassy had helped him.,जर्मन और इटालियन दूतावासों ने उनकी सहायता की।
ted,and preserve my art.,बना और सुरक्षित रख सकती हूँ
tides,"While concluding his submission before the Sessions Court , Sheikh Abdullah uttered these memorable words :",सेशन अदालत के सामने अपना बयान समाप्त करते हुए शेख अब्दुल्ला ने ये यादगार शब्द कहे :
tides,"At Chikmagalur in Karnataka , people who had eaten crabs were crippled due to pesticides .",कर्नाटक के चिकमगलूर जिले में केकड़े खाने से लोग पीड़कनाशियों की उपस्थिति के कारण अपाहिज हो गये .
indic2012,Ashtadyayi written by panin in that They refuse Mahabharata and Ramayana.,पाणिनि द्वारा रचित अष्टाध्यायी(६००-४०० ईसा पूर्व) में महाभारत और भारत दोनों का उल्लेख हैं तथा इसके साथ साथ श्रीकृष्ण एवं अर्जुन का भी संदर्भ आता है अतएव यह निश्चित है कि महाभारत और भारत पाणिनि के काल के बहुत पहले से ही अस्तित्व में रहे थे।
ted,and the deepening of democracy - has contributed,"और लोकतंत्र का गहन होना, इन्होने योगदान दिया है"
ted,And every year there's research done,और हर साल पर ये शोध किया जाता है कि
ted,because I'm John.,क्युकि मैं ही जॉन हूँ |
tides,"The rows of tombstones there tell a story that is redolent of the days when the world revolved around men , when women wilfully or otherwise immolated themselves on their husband 's funeral pyre .",वहां मकबरों की कतार उस जमाने की कहानी कहती है जब दुनिया मर्द के इर्दगिर्द घूमती थी और जब महिलएं जानबूज्ह्कर या किसी और वजह से अपने पति की चिता में कूदकर आत्मदाह कर लेती थीं .
ted,"between, say, the top quartile - the very best -","मसलन, शीर्ष एक चौथाई भाग - सबसे बेहतर -"
indic2012,Sarat is the second son of Janakinath.,शरदबाबू प्रभावती और जानकीनाथ के दूसरे बेटे थें।
indic2012,external links,बाहरी कड़ियाँ
tides,"I have dealt with many elections , from the 1995 BMC and assembly elections to several by-elections .","मैं 1995 के बाद से बीएमसी , विधानसभा , उप-चुनावों समेत कई चुनावों में व्यवस्था संभाल चुका ंं ."
ted,to design the plan for a waterfront esplanade with dedicated on-street bike paths.,मैंने 12.50 लाख रुपए की संयुक्त परिवहन अनुदान राशि की मांग की।
indic2012,Fish Tenga,फिश टेंगा
tides,-LRB- Fitzgerald J . in -LSB- 1868 -RSB- 11 Cox . C.C . 54 at page 55 -RRB- .,"( जज , Zफिजगेराल्ड ) 1868 में 11 काक़्स सी.सी . 54 , पृ . 55 ) ."
ted,In 50 years they've gone from a pre-Medieval situation,पचास सालों में वो पुरातन स्थितियों से आगे आ कर
indic2012,National youth festival,राष्ट्रीय युवा दिवस
ted,until these things are completed.,जब तक कि ये इन चीज़ों को पूरा न कर ले।
ted,"And at top of that pyramid, it's calculus.",और उस पिरामिड के शिखर पर है - कैलकुलस (समाकलन)
ted,when they were in the biggest cash crisis of their history.,जबकि वो अपने इतिहास की सबसे बडी नकदी से जुडी समस्या से भी जूझ रहे थे।
tides,They merely advanced money to the growers and bound them for delivery of the produce at an agreed price .,वे केवल उत्पादकों को फसल पर अग्रिम धन देकर निश्चित मूल्य पर माल देने के लिए बांध देते थे .
ted,"to generate data on this, Pascal Lamy,","पास्कल लेमी,"
ted,"from a societal standpoint,","सामाजिक दृष्टिकोण से काम कर रहे हैं,"
indic2012,The recent digging work here has established that this region has availability high quality of gas.,हाल ही की खुदाई से पता चला है कि इस क्षेत्र में उच्च कि की गैस प्रचुर मात्रा में उपलब्ध है।
ted,you need to be giving and sharing.,आपको दानी और बाँटनेवाला होना होगा
indic2012,"ICC has 104 members; 10 play official test matches, 34 are associate members, and 60 are related members. ICC is mainly responsible for organisation and administration of major international tournaments specially world cup. It appoints umpires and referees for all offcial test matches, ODIs and twenty-20 internationals. Every country has a national cricket board which controls domestic matches, selects national team and arranges local and abroad tours for national team.",अई सी सी के १०४ सदस्य हैं; १० पूरे सदस्य जो अधिकारिक टेस्ट मेच खेलते हैं ३४ सहयोगी सदस्य हैं और ६० संबद्ध सदस्य हैं.आईसीसी क्रिकेट के प्रमुख अंतरराष्ट्रीय टूर्नामेंट खासकर क्रिकेट विश्व कप के संगठन और शासन के लिए उत्तरदायी है यह सभी स्वीकृत टेस्ट मैचों एक दिवसीय अंतरराष्ट्रीय और ट्वेंटी 20 अंतरराष्ट्रीय के लिए अंपायर और रेफरियों की नियुक्ति करता है. प्रत्येक राष्ट्र का एक राष्ट्रीय क्रिकेट बोर्ड है जो देश में खेले जाने वाले क्रिकेट मैचों को नियंत्रित करता है.क्रिकेट बोर्ड राष्ट्रीय टीम का भी चयन करता है और राष्ट्रीय टीम के लिए घर में और बाहर दौरों का आयोजन करता है.
ted,"that are not going to learn to talk, and they're not going to be working",जो कि कभी बोलना नही सीखेंगे और कभी काम नही कर पाएँगे
ted,How sexy is that?,यह कितना कामोत्तेजक है ?
ted,Thank you very much.,धन्यवाद।
indic2012,Appam,अप्पम
indic2012,It has blocked foreign attacks from many years and secured Bharat.,वर्षों से यह विदेशी आक्रमणों से भारत की रक्षा करता आ रहा है।
indic2012,Gents got doubt that how much time they scarify their life partner.,संभोग का सामान्य समय के बारे मे नही बताया गया है सामान्यत: अधिकांश पुरूषो मे मे जिग्यासा होती है कि सामान्य समय क्या है क्या हम अपने साथी को संतुष्ट कर पाते है कितनी देर तक संभोग किया जा सकता है।
ted,are actually tying your shoes incorrectly.,जूते गलत तरह से बांधते हैं |
indic2012,Kabir accepted it as his blessing and Ramanand as his teacher.,उसी राम को कबीर ने दीक्षा-मन्त्र मान लिया और रामानन्द जी को अपना गुरु स्वीकार कर लिया।
tides,There is perhaps one exception : Devara Dasimayya whom Basava prais- ed was a historical person and he lived during the middle of the eleventh century .,बसव द्धारा प्रशंसित भक़्तों में केवल देवर दसीमय्या ही अपवाद हैं जोकि एZएतिहासिक व्यक़्ति हैं तथा ग़्यारहवीं शती के मध्य में जीवित थे .
tides,"Water should be given before feeding , and after unloading .",जल भोजन से पहले और भार उतारने के बाद पिलाया जाना चाहिए .
tides,For some time there was the hope that revolutionary work could be organised in India from a base in Afghanistan and it was also suggested that Roy could be appointed the Ambassador to that country .,कुछ समय तक यह आशा बनी रही कि भारत में अफगानिसत्तान को गढ़ बनाते हुए क्रांतिकारी कार्यवाहियों का संगठन किया जा सकता है और यह भी सुझाव दिया गया कि राय को वहां का राजदूत नियुक़्त कर दिया
indic2012,Oh may be not.,शायद नहीं है।
tides,Who works at the Museum ?,/ंग्रहालय में कौन कार्य करता है ?
indic2012,"After entering into Verma, he started living in Boarding House of Lucknow Medical College.",श्री वर्मा इण्टर करके लखनऊ मेडिकल कॉलेज में बोर्डिंग हाउस में रहने लगे।
ted,"Reading textbooks is stressful,","पाठ्य पुस्तकें पढ़ना तनावपूर्ण है,"
ted,It cannot be consciously a contributor.,वो एक सचेतन सहयोगी नहीं हो सकता
tides,"Unlike the cotton industry , the jute mills , while declaring handsome dividends , built adequate reserves and generated capital for further growth through their own earnings .","सूती उद्योग के विपरीत , जूट मिलों ने अचऋ-ऊण्श्छ्ष्-छा खासा लाभांश घोषित करते हुए भी पर्यापऋ-ऊण्श्छ्ष्-त जमापूंजी बना ली और अपनी सऋ-ऊण्श्छ्ष्-वयं की आमदनी से आगे विकास करने के लिए धन इकट्ठा किया ."
tides,Choose travel agents and tour operators which belong to a trade organisation that has a code of practice .,ऐसे ट्रेवल एजंट्स और सैर आयोजित करने वाले चुनिए जो कार्यप्रणाली का पालन करने वाली किसी भ्रेड एसोसिएशन के सदस्य हैं .
tides,The mother cleanses the body of the new-born kid by licking .,बकरी नये पैदा हुए मेमने के शरीर को जीभ से चाटकर साफ करती है .
ted,don't forget the air conditioning and the cable wires.,वातानुकूलन और काल के तारो को मत भूलिए.
tides,"The six days that Gandhi spent in Santiniketan during this visit laid the foundation of a lifelong friendship between him and Tagore , two makers of modern India , and brought into relief the obvious contrasts as well as the veiled kinship between their personalities and the dynamics of their idealism .","इस यात्रा के दौरान गांधी जी ने जो छह दिन शांतिनिकेतन में बिताए थे- इससे उनके रवीन्द्रनाथ-आधुनिक भारत के दो निर्मातों- के बीच जीवन भर की मित्रता की गहरी नींव पड़ गई , जिससे कि दोनों ही व्यक्तित्वों के मुखर विरोधाभासों को कम करने का अवसर मिला- जो उन दोनों के प्रच्छन संबंधों के साथ ही आदर्शवाद के बारे में उनके अलग अलग प्रस्थानों को लेकर उठती रहती थी ."
tides,Before the year ended three short stories his last contribution to this form were published in a volume entitled Teen Sangi -LRB- The Trio -RRB- .,इस वर्ष के समाप्त होने तक उनकी तीन कहानियां- इस विधा को अंतिम योगदान स्वरूप- ? तिन संगी ? ( तीन मित्र ) शीर्षक के अंतर्गत प्रकाशित हुईं .
indic2012,"After confirming that they were not sent by Wali, Hanuman took Ram & Laxman to Sugreev & befriended with them.",यह जानने के बाद कि उन्हें बालि ने नहीं भेजा है हनुमान ने राम और सुग्रीव में मित्रता करवा दी।
tides,A post of Assistant Commissioner at Car Nicobar was created .,कार निकोबार में एक असिस्टेंट कमिश्नर का पद बनाया गया था .
indic2012,movie,चलचित्र
ted,"From Siberia to the Atacama Desert in Chile,","साइबेरिया से ले कर चीली की अटाकामा मरुभूमि तक,"
tides,Consider whether you are getting the best deal .,विचार कीजिए कि क्या आपको सबसे उत्तम सौदा मिल रहा है या नहीं .
ted,What the poor thought was important would be reflected in the college.”,"गरीब लोगों को जो ज़रूरी लगता है, वही इस कॉलेज में होगा।”"
indic2012,From his childhood only ramkrishna was a sucessful person.,रामकृष्ण जी बचपन से ही एक पहुँचे हुए सिद्ध पुरुष थे।
tides,"Much of the delay -LRB- from March 4 , 1995 to October 1999 -RRB- was because the Sena-BJP combine was in power .",देरी मुयतः इसलिए रही कि 4 मार्च 1995 से अक्तूबर 1999 तक राज्य में शिवसेना-भाजपा सरकार रही .
tides,The First Plan set a target of 5.3 million tonnes of capacity and 4.8 million tonnes of production .,पहली पंचवर्षीय योजना में Zसीमेंट का 53 लाख की क्षमता तथा 48 लाख टन के उत्पादन का लक्ष्य रखा गया था .
tides,"A legislation was thought necessary to reduce the number of accidents , to mitigate the effect of accidents by provision of suitable medical treatment and to provide for cheaper and quicker disposal of claims relating to compensation through specialised Tribunals than was possible under the civil courts .","दुर्घटनाओं की संख़्या में कमी लाने , उचित चिकित्सा की व्यवस्था करने , दुर्घटना के दुष्प्रभाव को कम करने और सिविल न्यायालयों की तुलना में , प्रतिकर के दावों के कम खर्च में तथा त्वरित निपटारे के लिए , विशेष अधिकरण गठित करने के लिए इस तरह की विधि बनाने की आवश्यकता अनुभव की गई ."
indic2012,A team captain can end his innings by declaring it. the condition required is that two of the teams batsmen should be not-out (This does not apply to One day International matches).,एक कप्तान अपनी टीम की पारी को समाप्त घोषित (declares)कर सकता है जब उसके कम से कम दो बल्लेबाज नॉट आउट हों (यह एक दिवसीय के मैच में लागु नहीं होता है.)
indic2012,Data converter of web world -Here hundreds of fonts can be converted to Unicode online.,वेबदुनिया का डेटा कनवर्टर - यहाँ सैकड़ों फान्टों से यूनिकोड में बदलने की आनलाइन सुविधा है।
indic2012,Depth:Onkar Joshi's Indian language word dictionary[wyswyg],गमभन : ओंकार जोशी का भारतीय भाषा शब्द-संसाधक (WYSWYG)
ted,because you think you'll be here forever?,क्योंकि आप सोचते हैं कि आप तो अमर हैं?
tides,"This is an initial precaution , which will show any change in the cells taken from the cervix of the uterus .",यह एक प्रारम्भिक चेतावनी है जिससे यह पता चलता है कि बच्चेदानी के मुँह से जो सैल गये है उनमें कोई तबदीली हुई है या नहीं |भाष्;
tides,He arrived in January on a tourist visa valid for three months .,वह जनवरी में तीन महीने का पर्यटक वीजा लेकर थाईलौंड़ आया .
ted,I just took their pictures,मैं सिर्फ उनकी तसवीरें उतारता
tides,"The child should aim for normal educational goals and strive to achieve optimum psychological , social and physical development Some children would face management problems or gel into cheating , etc .","बच्चे को यही लक्ष्य रखना चाहिए कि वह सामन्य रूप से शिक्षा ग्रहण करे तथा उसका अधिकतम शारीरिक , सामाजिक , मानसिक व भावनात्मक विकास हो.कुछ बच्चों की देखभाल में परेशनियां आ सकती है तथा वे धोखा देना , झुठ बोलना शुरू कर सकते हैं ."
indic2012,the main aim of the ballerman is to out the batsman .if one batsman is declared out then its said that he is out and he has to laeve the match and go and from his team other batsman come and do batting when 10 batsman are declared out and when they are out and then the whole team is finished and there turn is over.at the end which bats man is not out cant do btting because always two batsman have to be in the court of match and this batsman is called not out,गेंदबाज का मुख्य उद्देश्य क्षेत्ररक्षकों की सहायता से बल्लेबाज को आउट करना होता है.एक बल्लेबाज जब बर्खास्त कर दिया जाता है तब कहा जाता है की वह आउट हो गया है अर्थात उसे मैदान छोड़ कर जाना होगा और उसकी टीम का अगला बल्लेबाज अब बल्लेबाजी करने आएगा. जब दस बल्लेबाज बर्खास्त (अर्थात आउट) हो जाते हैं तो पूरी टीम बर्खास्त हो जाती है और पारी समाप्त हो जाती है. अंतिम बल्लेबाज जो आउट नहीं हुआ है वह अब बल्लेबाजी नहीं कर सकता क्योंकि हमेशा दो बल्लेबाजों को एक साथ मैदान में रहना होता है. यह बल्लेबाज नॉट आउट कहलाता है.
tides,Observe,देखना
ted,That's very good.,ये वाकई बहुत अच्छी बात है.
tides,Sudden changes in feed are a common cause of ill-health in camels .,ऊंटों का स्वास्थ्य खराब होने का एक आम कारण तो इनके भोजन में कर दिये जाने वाले आकस्मिक परिवर्तन हैं .
ted,great fun for children to do.,बच्चों के लिये बहुत मजेदार है।
tides,"His ambition , he said , was ' to wipe every tear from every eye . '",". . . उन्होंने कहा कि उनकी सबसे बड़ी इच्छा , ' हर एक की आंखों के आंसू पोंछना है ' ."
indic2012,"Ramganga originates from Nainital,in southern part of main Himalayas and flowing through Bijnore ,meets Ganga near Kannauj",रामगंगा मुख्य हिमालय के दक्षिणी भाग नैनीताल के निकट से निकलकर बिजनौर जिले से बहती हुई कन्नौज के पास गंगा में मिलती है।
ted,that we change this thing,कि हम इसको बदल सकते हैं
ted,"the challenge that is there for the family, for the person.","उस चुनौती से जो परिवार के लिए है, मनुष्य के लिए है."
tides,"At the very entrance , a Sanskrit quotation from the Upanishads reminds one of the sovereignty of the nation of which the Parliament is the visible symbol .","संसद भवन में प्रवेश करते ही , उपनिषदों से संस्कृत में एक सूक्ति हमें राष्ट्र की प्रभुता का , जिसकी दृश्यमान प्रतीक संसद है , स्मरण कराती है ."
tides,the main reason of which is the Penal Settlement where a large number of freedom fighters and convicts came without their families .,उसका मुख्य कारण है कैदी बस्ती-जहां पर कि स्वतंत्रता-सेनानी व अन्य कैदी अकेले थे .
tides,"A lovely poemwhich might also have interested Freud reproaches the god Siva for having burn to ashes , in a foolish fit of anger , the love-god Madana .","ऐसी ही एक प्यारी-सी कविता है- जिसने शायद फ्रायड में भी दिलचस्पी पैदा की होती.इसमें शिव का पश्चाताप भी सम्मिलित है , जिसने अपने क्रोधोन्माद के उत्तप्त क्षणों में प्रेम के देवता मदन को जलाकर भस्म कर दिया ."
ted,who have been trafficked for commercial sexual exploitation.,जो व्यावसायिक यौन शोषण के लिए बेचे गए हैं.
indic2012,georgia,जार्जिया
ted,"In the long run, some news stories","लंबे समय में, कुछ समाचार"
indic2012,Early four works (versions):,प्रारम्भिक चार अवस्थाएं
tides,"Since cloning of higher animals is still not possible , all that can be done is to control their genotypic variation by other means .",किसी भी स्तनधारी प्राणी का क़्लोन बनाना अभी तक संभव नहीं हो सका है ; तो फिर मनुष्य की बात तो बहुत दूर की है .
ted,"I said, “I have to talk to them about stories.","मैंने कहा, ” मुझे उनसे कहानियों के बारे में बात करनी है."
tides,"If , the arrow hits the target , the player jumps up and names one of the five Pandava brothers .",तीर निशाने पर लगे तो Zउछलकर किसी पांडव का नाम लेता है .
ted,which are responsible for where it has come today.,जो आज के लिए जिम्मेदार हैं.
tides,"When the US-led assault in Afghanistan began in October last year , the Taliban militia under Mullah Mohammed Omar had the active support of some 60,000 heavily armed men , including 5,000 Al Qaida fighters .","पिछले साल अक्तूबर में जब अमेरिका की अगुआई में अफगानिस्तान पर हमल शुरू हा तो मुल्ल मोहमद उमर के मातहत तालिबान मिलिशिया को 5,000 अल . कायदा लड़कों समेत कोई 60,000 सशस्त्र लगों का सक्रिय समर्थन हासिल था ."
tides,The evidence of rising unfamiliarity and disinterest in our neighbourhood is overwhelming .,पड़ेसियों के प्रति हमारी बढेती अनभिज्ञता और निरुत्साह के कई सबूत हैं .
tides,"Pakistan 's reversal of its seven-year policy of support for the Taliban was , at least tacitly , predicated on the understanding that no government hostile to Pakistan would be installed in Kabul .",तालिबान को समर्थन की अपनी सात साल पुरानी नीति से पाकिस्तान ने सांकेतिक तौर पर ही सही पर इस एहसास के साथ किनारा किया था कि काबुल में उससे शत्रुता रखने वाली सरकार नहीं बनने दी जाएगी .
indic2012,Part mantra - interview in sacrifice - comes as the use of,मन्त्र भाग- यज्ञ में साक्षात्-रुप से प्रयोग आती है।
ted,This is a flower,यह एक फूल है
tides,"In Rajputana and Kathiawar , many of our royal families have Turkish blood .",बहुत हमारे राजपूत खानदान राजपूताने और काठियावाड़ में तुर्की खून रखते हैं .
tides,"This generation and subsequent ones can be back-crossed to either parent or crossed with entirely different varieties of wheat or rye -LRB- b , c -RRB- .","इस पीढ़ी से पितृसंकरण द्वारा जनकों को उत्पन्न किया सज़ा सकता है अथवा संपूर्णत : भिन्न किस्म के गेहूं से अथवा ( ब् , च् ) रई से संकरण किया जा सकता हैं ."
ted,unionseek.com/d/ioo.exe,unionseek.com/d/ioo.exe
tides,"If they have problems , help is not at hand .","यदि वहाँ वे किसी मुसीबत में पड़ जायें , तो सहायता करने के लिए कोई पास नहीं होता ."
ted,"who wrote great works like, “Do Androids Dream of Electric Sheep?”",जिन्होंने बहुत अच्छा लिखा है जैसे “Do Androids Dream of Electric Sheep?”
ted,is how we become a part of the phenomenon -,इस पूरी घटना का हिस्सा बन गया -
tides,"And so , for the first time since the great revolt of 1857 , vast numbers of people again rose to challenge by force -LRB- but a force without arms -RRB- the fabric of British rule in India .",और इस तरह सन् 1857 की महान क्रांति के बाद पहली बार जनता बहुत बड़ी संख़्या में हिंदुस्तान में अंग्रेजी हुकूमत के तान-बाने को ताकत से चुनौती देने के लिए फिर से उठ खड़ी हुई .
ted,I'm talking about the elite.,मैं कुलीन लोगो की बात कर रहा हूँ
tides,"Till the middle of the 19th century , transport facilities in India were poor and inadequate and had remained unchanged for centuries .",रेलवे 19वीं शताबऋ-ऊण्श्छ्ष्-दी के मधऋ-ऊण्श्छ्ष्-य तक भारत में परिवहन सुविधाएं अपर्यापऋ-ऊण्श्छ्ष्-त और दयनीय थीं और सदियों तक इसी प्रकार जऋ-ऊण्श्छ्ष्-यों की तऋ-ऊण्श्छ्ष्-यों रही .
ted,was once in a region that was smaller than an atom.,एक समय किसी अणु से भी छोटा क्षेत्र था.
indic2012,"Hazrat Muhammad Sallallahu Alaihi Vasallam's cousin brother Alirazi* who was well respected by Muslims, refused to believe Abu Bakra Razi* as Caliph in the beginning.",हजरत मुहम्मद सल्लल्लाहु अलैहि वसल्लम के चचा जाद भाई अलीरजी* जिन का मुसलमान बहुत आदर करते थे ने शुरु में अबु बक्र रजी* खलीफा मानने से इन्कार कर दिया।
indic2012,Third step 18th April 19948,तीसरा चरण 18 अप्रैल 1948
indic2012,Category: News paper from India,श्रेणी:भारत के समाचार पत्र
tides,"A boon given from above to a weak peasantry may be taken away later , and even a good law may have little value because it connot be enforced .",कमजोर किसानों को ऊपर से दी गयी सौगात बाद में छिन सकती है और अच्छे से अच्छा कानून भी बेकार रहेगा क़्योंकि वह अमल में नहीं लाया जा सकता .
tides,"His elder brother realised that if Rabindra was to derive any benefit from his education abroad , he should be made to live alone on his own .",उनके बड़े भाई ने यह अच्छी तरह समझ लिया था कि अगर रवि को बाहर रहकर यहां के अध्ययन से कोई लाभ पाना है तो उसे पूरी तरह अकेला रहना होगा .
ted,CA: OK.,क्र एं: अच्छा|
indic2012,Wherever he went he made the people happy,जब भि वो वह जते थे तो लोग उन्से बहुत खउस होते थे
indic2012,Thoughts of Great Persons About India [In English],भारत के विषय में महापुरुषों के विचार (अंग्रेजी में)
indic2012,Aashtanc Fibbi forum software dissemination campaign of the part of Hindi,फिब्बि मंच अष्टांक सॉफ़्टवेयर के हिन्दी प्रचार प्रसार अभियान का एक अंग है ।
tides,"Apply your minds entirely to the articles before you and tell me , Gentlemen , what is your verdict upon the charges .","अपना पूरा ध्यान आप इन लेखों पर लगाएं , जो आपके सामने प्रस्तुत हैं और बताएं कि इन अभियोगों पर आपका निर्णय क्या है ?"
tides,3 . All subjects other than the Union subjects and allresiduary powers should vest in the Provinces .,संघ को सौंपे गए विषयों तथा अधिकारों से इतर सभी विषय तथा अधिकार राज्यों के पास रहेंगे .
tides,Mental illness,मानसिक रोग :
indic2012,'Pakistan' means land of the pure.,पाक्स्तान शब्द का अर्थ हॅ पाक याने कि पवित्र लोगो का वतन।
tides,The cost factor is another impediment .,कीमत भी इसमें बड़ रोड़ है .
tides,"Similar rules in respect of the Rajya Sabha Secretariat were framed and promulgated by the President in 1957 , in consultation with the Chairman .",राष्ट्रपति द्वारा राज्य सभा सचिवालय के लिए ऐसे ही नियम 1957 में सभापति के परामर्श से बनाये गये थे और प्रख्यापित किये गये थे .
indic2012,Chinnkuut district,चित्रकूट जिला
tides,"He would dangle each delicacy before the hungry boy and ask in a stern voice , “ Do you want any more ? ”",वह हरेक व्यंजन के जैसे पीछे ही पड़ जाता और भूखे बालक से बड़ी रूखी आवाज में कहा करता “ क्या और चाहिए तुम्हें ? ”
indic2012,He got married to Kamala Nehru in 1916.,1916 में उनकी शादी कमला नेहरू से हुई।
tides,He further stated that he was not ” in favour of a jury trial since a jury would be asked to follow and to understand a very large number of documents . .. a super-human task to ask any member of the jury .,उन्होंने यह भी कहा कि वे ” जूरी द्वारा मुकदमा चलाने के पक्ष में नहीं हैं क़्योंकि जूरी को असंख़्य दस्तावेजों को पढ़ना और समझना होगा . . . जूरी के किसी भी सदस्य के लिए यह एक अतिमानवीय कार्य होगा .
ted,My students produced these info-graphics,मेरे विद्यार्थियों ने इन जानकारियों के चित्रणों को बनाया
indic2012,"With the help of star dictionary,you can know the meaning of any word by just moving mouse over it and a pop up box would tell you its meaning.",स्टार शब्दकोष की सहायता से आप किसी भी शब्द के ऊपर बस माउस ले जा कर शब्दों का अर्थ जान सकते हैं. उदाहरण के तौर पर: आप किसी वेब साइट या किसी वर्ड फाइल में जैसे ही किसे शब्द पर माउस ले जायेंगे एक पौप-अप में आपको उस शब्द का अर्थ मिल जाएगा.
indic2012,Though not every one in his group agreed with him but the names of Bhagat Singh and Battukeshwar Dutt were unanimously decided.,हंलांकि उनके दल के सब लोग एसा ही नहीं सोचते थे पर अंत में सर्वसम्मति से भगत सिंह तथा बटुकेश्वर दत्त का नाम चुना गया ।
tides,"According to Colonel Manthan Apaivongs , main investigating officer in the shoot-out , ” The case is very serious , involving the security of foreign nations .","राजन पर हे हमले की घटना के मुय जांचकर्ता कर्नल मांथन एपाइवोंग्स के मुताबिक , ' ' यह भत गंभीर मामल है और इससे कई देशों की सुरक्षा जुड़ी ही है ."
tides,"The limitations of this process being what they are , this class of instruments has never been of any use in delicate music and they have always been outdoor instruments .",इस प्रक्रिया की कमी यह है कि इस प्रकार के वाद्य संगीत की बारीकियों में काम के नहीं होते अत : हमेशा उन्हें बाहरी वाद्य यंत्र माना जाता रहा है .
tides,"In whatever profession you are , you must face them .","आप चाहे जो भी रोजगार करते हों , आपको उनका सामना करना ही पड़ेगा ."
ted,using public transportation.,सार्वजनिक परिवहन का इस्तेमाल कर के.
indic2012,Jodha Bai after marriage became Muslim and Mary - Uj - Jamani added message,जोधाबाई विवाहोपरांत मुस्लिम बनी और मरियम-उज़-ज़मानी कहलायी।
ted,"We went back and looked at where these particular texts were found,","हमने फिर विशलेषण किया और देखा कि ये विषेश वाक्य कहाँ मिले थे,"
